牛博 超话 6月27日 湖北 宜昌 暴雨 三峡 加大 泄洪 量 全市 水淹 被淹 居民 只能 高层 移。 洒水车 清洗 ######微博 	晚间 快乐 	希望 好心情 照常 营业 ，烦 心事 永久 打烊 ######rumor
奔 现 翻车 现场 疫情 持续 德国 新冠 肺炎 感染者 超 10万例  疫情 持续 ######8月 10月 预测 6月底 结束 希望 预测 更早 结束 ，祝 健健康康 	希望 早点 安心 上班 	心情 很郁闷 ######nonrumor
至诚 大兵 印度 担忧 非洲，# 全球 卫生 系统 薄弱 国家  告急 全国 一台 呼吸机  媒体 4月7日 报道 塞拉利昂 约 750万 人口 唯一 呼吸机 一家 私人 医院 17家 公立 医院 呼吸机 塞拉利昂 全球 卫生 系统 薄弱 国家 确诊 6例 新 冠 肺炎 病例 新型 超话 非洲， 都是 卫生 系统 薄弱 地方 ，经不住 新 冠病毒 摧残 病毒 蔓延 传播 非洲 情况 越来越 不好 黑非洲能 度过 劫， 战胜 疫情 微风  cn 6wvfdpz ######微博 	微博 	微博 ######nonrumor
Yahaa 呆 太 暖 沃日 湖北 小姐 姐 发  鸡皮 关注 唐山 新型 肺炎 疫情  唐山 终于 清零  希望 久 安心 摘 口罩 爱 发光  原图 ######回复 迷 芒果 慕白 大人 iiiiiii  收到 短信  截图 发 	app 统一 发 	图片 评论  评论 配图 ######nonrumor
哈尔滨 检察 【#新发地牛 羊肉 综合 大楼 相关 人员 延长 隔离 14天 6月28日下午 北京 第135场 新 冠 肺炎 疫情 防控 工作 新闻 发布会 北京市丰台区委 副书记 区政府 代区长 初军威 介绍 地下 一层 确诊 102例 特别 26、 27日 新增 25例 来源于 隔离 点 病例 来源 新发地 市场 牛 羊肉 综合 大楼 地下 一层 从业人员 现 牛 羊肉 综合 大楼 相关 隔离 人员 14天 基础 延长 医学 观察 14天 王昊 男） ######		######nonrumor
股道酬勤LRY A股 ： 不确定 因素 美股 下周 会不会 持续 下跌 周末 新闻 全球 新 冠 肺炎 新增 病例 创新 高， 全球 累计 确诊 病例 美国 近日 疫情 解封 重启 发展 ，单日 新增 确诊 病例 数 连续 三天 高于 4万例 。据 新华社 报道 病例 数 激增 ，佛罗里达州 得克萨斯州 暂停 重启 经济 计划 亚利桑那州 、路易斯安那州 缅因州 华达州 州 州长 暂 启动 阶段 经济 重启 计划 美股 上涨 资金面 美国 持续 防水 基本面 经济 复苏 预期 新 冠 疫情 来势汹汹 美国 欧盟 之间 贸易 争端 升级 美国 国内 经济 重启蒙 阴影 。     美 股道 指纳 指 K线 上周三 大跌 上周四 反弹 小阳线 上周五 阴包阳（ 技术面 有利于 空头， 担心 美股 下周 调整 国内 行业 利好 1， 新冠 疫苗 最新 临床 数据 很好 2， 蝗灾 题材 农药 ）  3， 大盘 调整 空间 有限 、不破位（ 沪指 关键点 6月19日 低点 医药 锂电池 过去3个月 大涨 方向 补涨 阶段 补涨 结束  品种 还会 阶段 补涨。4， 大盘 调整 空间 有限 、不破位， 中 长期 通道 个股 走 走。 ######回复 1迗 想你 创业板 指 跌 再起来 关键 个股 个股 不动，指数 大涨 涨 跌 	美股 涨停 无关 A股 美股 脸色 走出 自已 特色 之路 就好 	######nonrumor
陇南 康县 发布 关注 新 6月28日 甘肃 新增 境外 输入性 新 冠 肺炎 确诊 病例 现 6月27日20时 6月28日20时 甘肃省 新 冠 肺炎 疫情 信息 公布 疫情 今日 省 新增 确诊 病例 疑似 病例 接触者 症状 感染者 6月28日20时 省 连续 84天 新增 确诊 病例 连续 92天 无疑似 病例 连续 66天 无无 症状 感染者 现有 1名 外省 确诊 病例 密切接触者， 隔离 医学 观察 境外 输入 疫情 6月15日 沙特利雅得 兰州 MU 7792次 航班 253名 入境 人员 中 今日 新增 确诊 病例 航班 累计 确诊 病例 19 陆续 治愈 出院 转入 隔离 点 医学 观察 省级 定点医院 住院 隔离 治疗 16 省级 定点医院 隔离 留观 接触者 隔离 点 隔离 观察 236 6月23日 沙特吉达 兰州 MU 7790次 航班 254名 入境 人员 中 今日 新增 确诊 病例 航班 累计 确诊 病例 省级 定点医院 住院 隔离 治疗 省级 定点医院 隔离 留观 隔离 点 隔离 观察 249 6月27日 莫斯科 兰州 CA 910次 航班 280名 入境 人员 中 今日 确诊 病例 航班 累计 确诊 病例 省级 定点医院 住院 隔离 治疗 隔离 点 隔离 观察 279 入境 人员 闭环管理 中 6月28日20时 甘肃 累计 报告 境外 输入 新 冠 肺炎 确诊 病例 71例 累计 治愈 出院 50例 省级 定点医院 隔离 治疗 21 省级 定点医院 隔离 留观 隔离 点 隔离 观察 764 官网 ######微博 	陇南 康县 住 建  微博 	######nonrumor
永德县检察院 #永德检察转播#【 百年 变局 中 中国 突如其来 新 冠 肺炎 疫情 依然 全球 肆虐 二战” 全球 危机 世界 带来 前所未有 冲击 数十亿 工作 生活方式 发生 改变 全球 经济 遭受 史无前例 重挫 美国 确诊 人数 死亡 人数 高居 世界 第一， 黑人 遭 暴力 执法 致死 引发 抗议 ；东京奥运会 推迟 举办 ######		######nonrumor
哈尔滨 检察 北京 基本完成 应检 检 人员 动态 清零 6月28日下午 北京 第135场 新 冠 肺炎 疫情 防控 工作 新闻 发布会 北京市委组织部 副部长 张强 介绍 6月28日 12:00 北京 全市 核酸 检测 累计 采样 829.9 万人 检测 768.7 万人 基本完成 应 检 检 人员 动态 清零 微博 视频 ######		######nonrumor
中国新闻网 房东 确诊 外卖 骑手 减免 房租 【暖心 北京 外卖员 确诊 房东 房租 免 安心 治 关注 新 冠 肺炎 还记得 确诊 “连累 北京 外卖员 小孔 几次 房东 韩先生 打电话 担心 房东 家人 连累 回复 放宽 心 医院 住 自责 ”！ 小孔 安心 韩先生 免去 住院 期间 房租 小孔 病情 好转 早日 康复 北京卫视 生命缘 ######中国 房东 真 太 暖心 	友善 光辉 	中国 邻居 感恩  愿 平安健康 ######nonrumor
央视 新闻 美国 新冠 肺炎 确诊 病例 超 63万# 约翰斯·霍普金斯 大学 数据 美东 时间 15日 16 44 美国 新冠 确诊 病例 632878例， 死亡 27850例 15日 白宫 发布会 特朗普 称 美国 新增 病例 峰值 重启 社会 经济 指导 意见 州 5月1日前 提前 开放 央视 记者 王逢治）  原图 ######不知道 3万 飙 60多万 概念  两个字 形容 国家 ：毒怪！ 一句话 当年 陈刀仔 20万 赢 3700万 特朗普 3万 100万  。 闷身 发 财， 埋伏 一手 第一 不用 抢 超级 加倍 ，单 走 一个60w 	峰值 屁 检测 速度 	特朗普： 道德 绑架 ######nonrumor
神 事儿 完 房地产 房地产 行业 最看衰 时运 行业 日子 好过 自然 痛苦 房地产业者 面临 搞 外贸 朋友 面临 房地产 行业 贩卖 国内 民用 内贸 商品 ？？ 一个几百万 吧， 内贸 贵 标的 房地产 行业 只能 做 内贸 ？？ 抛开 居民 属性 70年 产权 国民 福利 商品 不谈 30年 商住 一帮 耀武扬威 买 国内 人士 生意 爱理不理 生意 不好 肺炎 东风 琢磨 卖给 洋鬼子 ？？ 思路 仅供参考 说白了 地产 行业 一帮 高大上 ，东西贵 高大上 鸡毛 关系 ？？ 幻觉 行情 现 原形 房地产 东西 自古以来 全球化 商品 英国 玩 两 权 分离 伦敦 豪宅 很难 买到 所有权 要买 买 居住区 王总 去找 英王 买 房子 待遇 关键 。。。。 动 脑子 。。。。政府 疯狂 暗示 以租代售， 租售 同权 不懂 饿死 ######开发商 一心 想 赚钱 出国 跑路 想得到 细 	中国 侨乡 房地产 中介 拉 外籍 客 	不知道 外国人 屈身 中国 高 房价 unit 国外 都是 便宜 house ######nonrumor
哈尔滨 新冠 肺炎 院内 感染 病例 说完 话题 抗 疫 远 成功 外防 输入 防 反弹 武汉 掉以轻心 ######中国 欧美 提 曝光 	抗 疫 胜利 病毒余孽兴风作浪？ 	回复 ichbin勤 嗷嗷 ######nonrumor
快兰斯 24小时 财经 直播 实时 播报 美国 纽约州州 长科 莫： 新增 新 冠 肺炎 死亡 病例 606例 累计 死亡 病例 12192例 ######降 	降下来 	######nonrumor
天津师范大学 切实 做好 新 冠 肺炎 疫情 防控 工作 落实 我校 复课 开学 措施 后勤 管理处 联络 邀请 天津市红十字救援队 我校 提供 组图 9张  原图 ######还能 开学 ？想念师大 	回复 仙女 小肥 课 姐妹 	睡不够 小张 @OMG彤彤 大王  课 怪累 ######nonrumor
价值 投资 日志 亚马逊 AMZN 续创 历史 新高， 市值 突破 12000亿美元 4月16日 亚马逊 AMZN 今日 股价 上涨 现 涨幅 5.18% ，报 2427.14美元 暂 成交 111.23亿美元 最新 总市值 12083亿美元 亚马逊 盘中 股价 续创 历史 新高 3月16日 触及 一年 低点 亚马逊 股价 上涨 超 43%。 新 冠病毒 疫情 全球 蔓延 欧美 国家 民众 居家 隔离 线上 购物 正火 飞 亚马逊 电商 巨头 带来 庞大 商机 新 冠 肺炎 疫情 危机 居家 抗疫 措施 令 线上 购物 需求 暴增 亚马逊 增加 175000名 仓库 送货 工人 追赶 增长 美股 三大 股指 技术性 牛市 股票  原图 ######牛 	华尔街 太 牛 	亚马逊 股价 等于 上证指数 ######nonrumor
大象 军事 【特朗普 上任 3年 退 群” 成瘾 】—— 退出 地球吧！！新冠肺炎 美国 大爆发 美国 总统 特朗普 矛头 指向 世界卫生组织 WHO 暂停 世卫 拨款 白宫 记者会 声称 ，世卫 世贸组织 WTO 欺骗 美国 损害 美国 利益 组织 诚实 美国 有必要 话 美国 退出 两个 组织 美国疾控中心 称 世卫组织合作# # 特朗普 暂停资 助 世卫组织# 原图 ######美国政府 对抗 疫情 过程 中 犯 一系列 糟糕 内部 错误 更糟糕 犯 更多 外部 错误 意图 弥补 犯 内部 错误 		作 不死 ######nonrumor
微天下 【#普京 推迟 卫国战争 胜利 75周年 阅兵 活动 俄 媒 16日 消息 俄罗斯 总统 普京 16日 新 冠 疫情 仍未 控制 情况 5月9日 卫国战争 胜利 75周年 阅兵 活动 风险 太 推迟 活动 北京 时间 16日23时 俄罗斯 累计 确诊 新冠 肺炎 病例 27938 例， 累计 死亡 232例 海外 抗疫 日记  原图 ######组织 军队 城市 抗击 疫情 一种 纪念 方式 	推迟 11月7日 	【#普京 推迟 卫国战争 胜利 75周年 阅兵 活动 #】 北京 时间 16日23时 俄罗斯 累计 确诊 新冠 肺炎 病例 27938 例， 累计 死亡 232例 ######nonrumor
FU 37 北京  境外 输入 病例  隔离 14天后  发病 母亲 弟弟 外公 确诊 ！：  病毒 传播力 *  强 ！！： 说白了， 一种 *肺炎！ 一种 *传染病 啦！！！ ：肺病啦1！： 肺病  疾病 *传染病 一定要  死角 尖端 立体式 ， * 全天 候 抵制 任何人  防护 原图 ######一定要  加 死角 尖端 立体式 ， * 全天 候 抵制 任何人  防护 	：说白了， 一种 *肺炎！ 一种 *传染病 啦！！！ ：肺病啦1！： 肺病  疾病 *传染病 	 病毒 *传播力 *  强 ######nonrumor
实况 神圣 23:55 新加坡 新增 728例 新 冠 肺炎 病例  累计 超过 4000例 新加坡 今日 新增 728例 新 冠 肺炎 病例 该国 疫情 暴发 单日 增幅 累计 4427例 治愈 31例 累计 683例 死亡 新增 累计 10例 重症 23例 全球 疫情 新加坡 疫情 ######加油 棒 	博文 内容 写 很好 值得 点赞 继续努力 发挥 	######nonrumor
宋中清 主任 律师 肺炎 超话 症状 感染者 哈尔滨 六名 护士 染疫  全省 二级 医疗 机构 严 控 4月15日 哈尔滨 单日 新增 4名 确诊 病例 11名 症状 感染者 6名 护士 症状 感染者 哈尔滨 疫情 市区 疫情 反弹 紧张 情绪 扩 县区 近日 疫情 反弹 哈尔滨 疫情 防控 负责人 约谈 地点  原图 ######爱 就像 拖拉机 山， 轰轰烈烈 		博文 好棒 嫌 烦 喔 特意 混 脸 熟… 不好意思 回访 ######nonrumor
PLANET ZHANG 抄经 半年 感觉 ，人 真 变 聪明。 事情 敏锐 “觉知”。 半年 里 百分之八十 负面 情绪 都是 抄 排解 掉 昨天 叔叔 聊天 抄 这件事 身上 褪去 杂七杂八 欲望 也有 “浪子回头金不换” 感觉 肺炎 病毒 依旧 扩散 都会 抄经 祈请 佛祖 保佑 家人 朋友 平安 关 保佑 更大 损害 组图 9张  原图 ######天龙八部 四个 字 	回复 临摹 挺 练 耐心  过程 感觉 修行 	回复 薛定谔 名字 ######nonrumor
微博 政务 抗击 新型 肺炎 第一线# @国防部 发布 解放军 三支 队伍 抵达 武汉 有序 工作  原图 ######关键时刻 子弟兵 	加油 	######nonrumor
闹 心水雾 前几天 几年 情感 纠葛 伤心 至极 伤害 第一 肺炎 事件 ######回复 头W字D 	保护好 加油 	######nonrumor
环球 家居 榜 广州城管局 副局长 确诊 新型 肺炎 一家 三口 传染 近日 网 广州一城管局 副局长 确诊 感染 新型 冠状病毒肺炎， 20日 巡查 花市 岳母 19日 广州 当事人 回应 岳母 确诊 医院 隔离 确诊 称 20日 21日 上班 那时候 迹象 家人 没事 广州 爆料  最新 疫情 地图 ######回复 可爱 小红帽 吖 楼主 乱 主意 楼下 两位 说话 名。 	回复 可爱 小红帽 吖 脑子 放 微波炉，小火， 3分钟 即可 	回复 可爱 小红帽 吖 放 进 焚化炉 30分钟 即可 治愈 ######nonrumor
泉州公安 学 家庭版 抗疫 措施 做 家中 预防 肺炎 武汉协和医院 夏教授 儿子 学生 拍摄 一支 视频 ，手把手指导 做 预防 措施 戳 视频 钟南山 微博 视频 ######加油 湖北省 加油 中国  	加油 武汉 加油 中国 	白目 黑目 ######nonrumor
环球网 国 确诊 1377例 新型 肺炎 病例  死亡 41例 治愈 39例 最新 疫情 地图  原图 ######死亡人数 增加 拜托 	西藏 挺住 	治愈 越来 越多 ######nonrumor
问政 曲靖 曲靖市 全力以赴 投入 新型 冠状病毒感染 肺炎 疫情 防控 工作  ######领导 外来 车辆 疫情 好多 外省 车辆 曲靖 包括 湖北 外来 车辆 至少 保证 城市 居民 安全吧。 	圆通寺 关， 昨天 妈 非 香。 劝 不住 非 	宗教 场所 位于 三宝 新 发营 雅户 三圣寺 关闭 家里 老人 非 昨晚 劝 住 今早 爬起来 担心 很多人 寺庙 “打谱” 活动 人员 密集 不确定 携带者 办 ######nonrumor
凤凰卫视 欧洲台 【英国内政部 自动 续签 外国 英 医生 签证 包括 家属 路透社，英国内政部 近期 英国 签证 到期 10月1日前 到期 外国 医务人员 签证 自动 续签 家属 享受 待遇 据统计 外国 医务人员 数量 英国 约 2800个 包括 医生 护士 药剂师 职位 内政部 称 此举 助力 抗击 英国 疫情 详情 请见 英国 疫情 欧洲 新冠 肺炎 病例 进展 全球 防疫 迷幻 操作 英国 新冠 肺炎 病例 进展 全球 疫情 海外 抗疫 日记 意大利 疫情 意大利 封闭 全国 法国 疫情 西班牙 疫情 ######	不给 绿卡 行  求 条件 ，侬晓得 阀 	ood job ######nonrumor
一点 萝莉 症状 感染者 算 确诊 牵强 新 冠肺炎核酸阳性， 算 新 冠肺炎？ 测 病 请问  前期 那么多 病人  查 核酸 阳性 ct 肯定 有人  那时候 确诊 疫情 结束了 症状 感染者 单独 拎 算 搞笑 真 一开始 分 两个 病， 新增  有没有 症状 一念之间 事情  呼吸道 症状 太  发热  乏力 易 疲劳  算 症状  国外 都是 核酸 阳性 确诊  国内 不知道 概念 症状 感染者 传染性  隔离  真 不知道 区别  显示 地图 ######回复 一点 萝莉 	回复 前世 懒猪 肯定 钱 	症状 无从 下手 ######nonrumor
五环 短 视频 美国 连锁 巨头 临时 解雇 13万 员工 ##通用电气公司 裁减 一成 员工 近日 美国劳工部 最新 公布 数据 显示 3月21日 一周 美国 首次 申请 失业 救济 人数 328.3万 ，创 历史 新高 。受 新 冠 肺炎 疫情 影响 美国梅西百货 此前 关闭 全国 零售 门店 当地时间 30日 ，梅 西百货 发布 公告 称 ，公司 本周 临时 解雇 13万名 零售 终端 业务 人员 线上 销售 运作 ，梅西百货 实体 零售 业务 停工 公司 销售 影响 上市公司 ，梅 西百货 支付 首 季度 股息 收回 此前 发布 2020年度 销售 盈利 目标 行业 美国 企业 裁员 压力 超出 受 疫情 影响 行业 。除 零售业 外 通用电气公司 近日 ，喷气发动机 业务 部门 裁减 约 2500名 员工 约 占 美国 员工 总数 10% 外， 应对 疫情 无关 诊所 关闭 门店 解雇 员工 近期 失业 民众 ，申领失业救济金 实属 无奈 之举 ######早 	经济危机 	难 ######nonrumor
21世纪 经济 报道 【特 写 替补 先锋：# 外科 医生们 一线 战疫 】“ 新 冠 肺炎 外科 医生 替补 队员 ’， 场 战役 前锋 疫情 中 原本 眼中 外行 不遗余力 冲进 抗击 疫情 各条 战线 新 冠 肺炎 病房 急诊 手术室 海外 抗疫 云 直播 现场 努力 做好 角色 报道 详见 原图 ######好样 	确诊 病人 一线 	######nonrumor
网 红 领域 钟南山 推断 中国 南山 院士 近日 接受 采访 中国 近期 新 冠 肺炎 新 确诊 病例 数 下降 中国 还没有 症状 感染者 ######微博 	微博 	######nonrumor
网 红 写真 钟南山 推断 中国 南山 院士 近日 接受 采访 中国 近期 新 冠 肺炎 新 确诊 病例 数 下降 中国 还没有 症状 感染者 ######微博 	微博 	######nonrumor
姜姜姜姜姜 2020 睡 心 一点 累 十二点 四月份 花呗 生活费 狼狈 想 肺炎 说一句 妹 西 该死 rap 魂 ######跟着 唱 	秀儿 集美 	######nonrumor
摩登兄弟 超话 呼叫 027## 刘宇宁 黑夜 一束 刘宇宁 lyn 棚主 宁哥  老公 偶像 朱迅 爱豆 连线 新 冠 肺炎 患者 送 祝福， 加油 打气 一束 音乐  ######天使 抓 心 小恶魔， 牵挂 	刘宇宁 爱情 命 jxq 	刘宇宁 满天星 花语 愿做 配角， 瞒着 爱 携 满天 星辰 赠 好不好 jxq ######nonrumor
河北文艺广播 陪同 普京 视察 传染 病院 医师 确诊 总统 新闻 秘书 ：# 普京 总统 】据 俄罗斯 24 新闻 频道 消息 莫斯科 治疗 首席 医师 普罗岑科 确诊 感染 新 冠病毒 肺炎 3月24日 俄 总统 普京 莫斯科 视察 治疗 时 普罗岑科 接待 俄 总统 新闻 秘书 佩斯科夫 得知 普罗岑科 确诊 消息 ，普京 总统 定期 接受 新 冠病毒测试， 央视 组图 2张  原图 ######回复 美丽 陆良 	绿色 能量 tongdexu ：普京 会不会 症状 感染者 	一针 疫苗 ######nonrumor
火 爸 朱剑笛 国沃森公司 13价 肺炎 球菌 疫苗 批 签发 14.1119万支 有望 4月 接种 第一针 上半年 市场 供应 100万支 。沃森公司 13价 肺炎 球菌 疫苗 适用于 6周 龄 5岁 6周岁 生日 前 儿童 接种  原图 ######3针 第2针 隔 至少 一个月 第3针 第4针 12月 龄 第3针 隔 至少 2个月 关键 接种 单位 想 乖乖 躺着 ：火 爸 武汉 孩子 3.5月 接种 第一针13价 肺炎 受 疫情 影响 接种 8.5月 接种 		23 价 还能 13 价 ？， 上次 裴医生 科普 13 价 比较好 那时候 家 刚刚 23 价 ######nonrumor
谢逸枫 知名 房地产 专家 财经 头条  新加坡金管局 联合 金融机构 多项 援助 措施  房贷 延期 支付 新加坡 新加坡 金融 公会 （FHAS） 31日 联合 公布 多项 援助 中小企业 措施 辅助 政府 推出 两轮 援助 配套 计划 新 冠 肺炎 疫情 期间 保证 就业 民生 措施 包括 银行 金融 公司 申请 延后 房贷 分期付款 年底 信用卡 转为 利率 上限 8% 定期 贷款 ######回复 搞笑 show 	夜深 休息 	######nonrumor
中科大 胡 提 GDP 增长 目标 确实 委员 建议 中国 设定 GDP 增长 目标 03 31 08:15 贴  1722 条 央行货币政策委员会 委员 主任 马骏 近日 出席 经济 日报 中国经济网 举办 网上 视频 座谈会 时 受 新 冠 肺炎 疫情 影响 GDP 增速 很难 6% 目标 中国 经济 面临 不确定性 建议 设定 GDP 增长 目标 新 冠 肺炎 疫情 袭来 经济 社会 发展 冲击 经济学界 关注 探讨 疫情 中国 经济 影响 多大 马骏 预计 6% GDP 增长速度 4% 5% 增速 难度 很大 也有 经济学家 预测 中国 经济 增速 降 百分之二点 几、 一点 情况 都是 经济 影响 取决于 欧美 疫情 发展 马骏 经济 日报 中国经济网 记者 马骏 分析 称 GDP 增长 目标 财政 资源 金融 资源 刺激 经济 目标 预测 不确定 情况 GDP 增长 目标 尤其是 6% 目标 宏观 政策 绑架 被迫 搞 “大水漫灌”。 马骏 不切实际 GDP 增长速度 地方 政府 大搞基建， 投资 实际上 基建 投资 都是 资本 密集型 解决 就业 失业 民生 短期内 ######倒逼 解决 拖着 	发展 硬道理， 硬道理 模糊 	第一 目标 挺住 ######nonrumor
Jony Fan 湖北 返京##新冠肺炎# 请问 北京市政府 湖北 返京 人员 隔离 酒店 隔离 费用 价格 隔离 酒店 卫生 标准 隔离 房间 消毒 卫生 环境 能不能 防 住 病毒， 酒店 卫生 环境 400块 隔离 费用 卫生 环境 防范 病毒， 湖北 北京市 第三产业 增长 买 北京 发布 显示 地图  组图 3张  原图 ######回复 隔离 湖北 	北京 五月 隔离 	回复 隔离 费用 高， 选择 四五百 14天 小数 目。 卫生 情况 防疫 真 真 防疫 防疫 ######nonrumor
荆楚网 吉布提总理 中国 专家 组授 独立日勋章#】 5月10日 ，吉布提 总理 卡米勒 中国 援 吉抗疫 医疗 专家 组 授予 吉布提共和国 独立日勋章”。 授勋 仪式 专家 组 组长 曾勇 授予 “军 官级 独立日勋章”， 11名 队员 授予 “骑士级 独立日勋章”。 授勋 勋章 数量 礼仪 规模 吉布提 历史 均属 首次 。（人民日报）# 抗击 新型 冠状病毒肺炎# 组图 4张  原图 ######没听 国家 	早安 	大龄女郎 晚嫁 坏事 ######nonrumor
侠客岛 美国 市长 去年11月 感染 新 冠？ 事情 新 冠病毒 起源于 前几天 美国 市长 称 去年11月 感染 新 冠肺炎。 理由 流感 症状 今年4月底 检测 时 发现 体内 新 冠病毒 抗体 很久 此人 话 尚未 科学 界 证实。 疫情 起源 传播 国际 科学 界 确实 新 发现 ######美国 舆论 环境 中国 似 骂 美奸 社会 差异 很大 	美国 退出 禁止生物武器条约 拒绝 签署 禁止 生物战 条约 事实上 美国 开发 生物战 武器 美国 唯一 拒绝 世界卫生组织 检查 生物战 实验室 国家 美国 CDC 19年7月 暂停 德特里克堡许可证 关闭 设施 销毁 记录 时 工作 人员 污染 	市长 推特 辟谣 ######nonrumor
澎湃新闻 【白宫 确认 特朗普 一名 贴身 工作 人员 确诊 新 冠 肺炎 当地时间 5月7日 美国 有线电视新闻网 称 特朗普 一名 贴身 工作 人员 确诊 新 冠 肺炎 工作 人员 隶属 美国 海军 白宫 精英 部队 成员 特朗普 近距离 接触 。白宫 发表 声明 确认 消息 确保 ，特朗普 随即 白宫 医务人员 协助 接受 新 冠病毒测试。 ，特朗普 每周 都会 接受 新 冠病毒测试， 测试 15分钟后 央视 新闻 ######特朗普 假 新闻 下一个 	感染 不太 科学 	建国 命硬， 确诊 接触 没事儿 ######nonrumor
价值 投资 日志 纽约州 州长 Cuomo 5月6日 疫情 发布会 66% 新 住院 新 冠 肺炎 患者 都是 在家 频繁 外出 情况 感染 称 令人 吃惊 项 数据 全州 100家 医院 约 1000名 患者 调查 。Cuomo 发布会 重申 戴口罩 手 部 消毒剂 社交 距离 重要性 白宫 计划 解散 应对 疫情 工作组 美国 总统 特朗普 又要 甩锅 嗨 美国 疫情  大选 原图 ######轻症居家隔离， 家庭 集体 中招 概率 很大 	频繁 外出 频繁 外出 本质 一回事 外出 没办法 隔离 好好 呆 在家里 隔离 美国 傻 透 	微博 ######nonrumor
理由 原则上 美国 。嗯！//@林 瑜璟 信 属 实 美国 控制 rna病毒 瞎 几把 变异 能力 搞 概率 搞 死 想 搞 生化武器 流感 肺炎 太 划算 支持 德特里克堡 实验室 无心 泄露 病毒 猜想 原始 用户  脱 欧 入 亚卡菊轮 内容  很简单 道理 新冠 12月底 武汉 爆发 1月25日 全国 lockdown 状态 耽误 戴口罩 坐 肯定 全国 点 爆发 就像 美国 可问题 发生 事 国内 病例 武汉 接触 史， 境外 输入 传播 途径 清晰 可以说 简单 回来 境外 输入 武汉 导致 扩散， 堵住 武汉 湖北 堵住 传染源 美国 搞 成 全国 点 爆发 100多万 确诊 冰山一角 数以 计 感染者 未 检测 患病 自愈 死亡 一无所知 唯一 可能性 美国 爆发 更早 传染 隐蔽 掩盖 去年 流感 直到最后 发现 新 冠。# 最新 疫情 地图 关注 新 冠肺炎# 原图 ######本来 小镇 流行 美国 派 军队 封锁 实验室 业务 水平 感染 	回复 行星 风尚 Planet 听听 	地区 间 转播 路径 时间轴 仔细 画 感觉 ######nonrumor
大越楚卿 巴西北部 城市 玛瑙斯 市长 维吉里奥 21国 领导人 发送 求救 信 视频 请求 各国 提供 医疗 物资 支援 协助 该市 对抗 新 冠肺炎， 该市 卫生 系统 崩溃 边缘 医院 只能 尸体 放在 冷藏 车 里 。维吉里奥 市长 该市 几十年 保护 亚马逊雨林。 回报 该市 医务人员 呼吸机 防护 设备 。维吉里奥 市长 此前 瑞典 环保 少女 发出 求救 视频 组图 2张  原图 ######西方 国家 出手 	环保 少女 出面 解决 	环保 少女 捐 1个 口罩 支持 ######nonrumor
日本 疫情 播报 【速报】# 日本 疫情 担任 首相 辅佐 官 岡本 行夫 感染 新冠 肺炎 去世 ，年 74岁  原图 ######恭喜 		冈本 003 ######nonrumor
辽沈晚报 【白宫 确认 特朗普 一名 贴身 工作 人员 确诊 新 冠 肺炎 当地时间 美国 有线电视新闻网 称 特朗普 一名 贴身 工作 人员 确诊 新 冠 肺炎 工作 人员 隶属 美国 海军 白宫 精英 部队 成员 特朗普 近距离 接触 。白宫 发表 声明 确认 消息 确保 ，特朗普 接受 新 冠病毒测试。 特朗普 每周 都会 接受 新 冠病毒测试 央视 原图 ######回复 jj阿旺花花  想 	没事 懂王 解药  疫苗 	特哥好自为之 ######nonrumor
中国新闻网 湖北 首例 新 冠 肺炎 终末期 患者 肺移植手术#】# 关注 新 冠 肺炎 5月5日 65岁 新 冠 肺炎 终末期 患者 崔安（ 化 名） 接受 双 肺 移植 手术 14天 恢复 状态 惊喜 崔安 湖北 首例 新 冠 肺炎 核酸 转 阴者 终末期 肺 移植 手术 患者 4月22日20点 接受 双 肺 移植 手术 44小时 医护 团队 崔安 成功 撤 辅助 呼吸 62天 ECMO。 医护 团队 精心 照顾 接连 闯过 移植 抗排异 多重险关。 5月1日 崔安 拔除 尿管 、PICC管。 5月4日 尝试 坐 坐位 平衡 训练 手脚 自主 抬高 10厘米 自主 喝水 、吞咽、咳嗽， 尝试 发出 声音 5月5日 插 满崔 安全身 各类 10多个 治疗 管道 剩下 一根 气管 切开 一根 引流管 崔安 毫无意识 躺 病床 机器 生命 恢复 配合 查房 医生 提示 肢体 活动 中新视频 http ######英国 早 入土 	兔 政府 	肺 移植 自费 新冠 免费 治 救治 老人 肺 移植 机会 太 棒 ######nonrumor
理由 微博 原始 用户 观察者网 内容 钟南山： 新型 冠状病毒肺炎 野味 央视 新闻 央视 新闻 微博 视频 ######回复 @糯糯猫猫 风暴 边缘 湖北省 襄樊 老河口 	回复 夏 色 家 观察 网上 新闻 揪心 	回复 @糯糯猫猫 昨天早上 媳妇 溜 回家 昨天 陪 在家 隔离 回 家 隔离 ######nonrumor
穿过 流年 遇见 鱼 医务人员 传染 新型 冠状病毒肺炎 鲁迅先生  组图 6张  原图 ######特 ！！！！ 气死 真 气死 ！！！！！特 	图片 评论  评论 配图 	事 严判 死 里 判 ！袭医 袭警 TM 信 还会 有人 干！ 坐 一个人 做 这事儿 全家 医生 丧心病狂 败类 猪 狗 气死 ######nonrumor
荣戈博报 两个 消息 相互 印证 钟南山 肯定 新型 医务人员 传染 新型 冠状病毒肺炎#， 重视 ！（荣戈博报） ######依然 支持 	依然 支持 	选择 看淡 ；情 渐 远 时 选择 随意 ######nonrumor
